a,Estimated Internet users per 100 inhabitants,c,d,e,f,g,h,i,j,k,l,Metadata for estimated Internet users per 100 inhabitants,n,o,p,q,r,s,t,u,v,w,x,y,z,aa,bb,cc,dd,ee,ff
Colombia,2.207532992624,2.85419997133433,4.6,7.38892371052557,9.1186903029666,11.0072638904585,15.3416745365682,27.8,38.5,49.36,,,Ministerio de Comunicaciones.,,Ministry of Communications' estimate.,,Ministerio de Comunicaciones.,June.,Ministerio de Comunicaciones.,,Ministerio de Comunicaciones.,,Ministerio de Comunicaciones.,,Ministerio de Comunicaciones.,,Ministerio de Tecnologías de la Información y las Comunicaciones,,Ministerio de Tecnologías de la Información y las Comunicaciones,Estimated by country from previous years values.,Ministerio de Tecnologías de la Información y las Comunicaciones
Comoros,0.271740607285909,0.443068372538977,0.554869674985088,0.848189370151537,1.32732717785355,3.24431474395057,3.32926951070836,3.42334722809561,3.48104043758192,3.59449376806492,,,,,,,,,,,,,,,,,ITU estimate.,,ITU estimate.,,ITU estimate.
Congo,0.0263547320580279,0.0322236164306931,0.157249517243982,0.460014186837522,1.07750492958505,1.46342005950851,2.00799007938159,2.75970437370903,4.28750990276481,6.65728709577751,,,,,,,,,,,,,,,,,Direction Génerale de l'Administration Centrale des Postes et Télécommunications du Congo.,,Direction Génerale de l'Administration Centrale des Postes et Télécommunications du Congo.,,ITU estimate.
Congo (Dem. Rep.),0.0059021136806903,0.0114757819210493,0.0927907024606925,0.134914837437335,0.196208375178039,0.238037798692792,0.29605361030881,0.37,0.45,,,,,,,,,,,,,,,,,,A.R.P.T.C.,,A.R.P.T.C.,,
Cook Islands,15.6561343580985,18.0831826401447,20.0189067452594,22.869588891914,23.9936017062117,26.1999580800671,25.8571650204272,25.6003276841944,25.4052131497383,30.2907915993538,,,ITU estimate.,,ITU estimate.,,ITU estimate.,,ITU estimate.,,ITU estimate.,,ITU estimate.,,ITU estimate.,,ITU estimate.,,ITU estimate.,,Telecom Cook Islands Ltd.
Costa Rica,5.80025302331829,9.55948213497093,19.8948511346293,20.3336148143541,20.7923067055542,22.07,25.1,28.4,32.29,32.42,,,,,,,,,,,,Population age 5+.,Instituto Nacional de Estadística y Censos,Estimated based on 2005 and 2008 surveys' results. Population age 5+,ITU estimate.,Estimated based on 2005 and 2008 surveys' results. Population age 5+,ITU estimate.,Population age 5+.,Instituto Nacional de Estadística y Censos,Population age 5+.,ICE-Telecomunicaciones
Côte d'Ivoire,0.231461670612799,0.395747702246439,0.497929360753307,0.758669629452205,0.849282414747704,1.03923820514001,1.52490079122527,2.24,3.21,4.59,,,,,,,,,,,,,,,,,ATCI,,ATCI,,ATCI
Croatia,6.64488254374396,11.5585731811648,17.76,22.75,30.91,33.14,37.98,41.44,44.24,50.58,,,,,,,Croatian Post and Electronic Communications Agency (HAKOM). ,,,,,Population age 16-74.,,Population age 16-74.,,Population age 16-74.,Eurostat.,Population age 16-74.,Eurostat.,Population age 16-74.,Eurostat.
Cuba,0.541182548811058,1.07975172188907,3.77058503769014,5.2412690536929,8.40798475900703,9.73806220781346,11.1596013147617,11.69,12.94,14.33,,Refers only to users with access to the international network.,Ministerio de la Informática y las Comunicaciones.,Refers only to users with access to the international network.,Ministerio de la Informática y las Comunicaciones.,Incl. users of the international network and also those having access only to the Cuban network.,ONE.,Incl. users of the international network and also those having access only to the Cuban network.,ONE.,Incl. users of the international network and also those having access only to the Cuban network.,ONE.,Incl. users of the international network and also those having access only to the Cuban network.,ONE.,Incl. users of the international network and also those having access only to the Cuban network.,ONE.,Incl. users of the international network and also those having access only to the Cuban network.,Ministerio de la Informática y las Comunicaciones,Incl. users of the international network and also those having access only to the Cuban network.,Ministerio de la Informática y las Comunicaciones,Incl. users of the international network and also those having access only to the Cuban network. Users of international network account for 2.9%.,Ministerio de la Informática y las Comunicaciones
Cyprus,15.2553943710137,18.8187590408455,28.32,30.09,33.83,32.81,35.83,40.77,42.31,49.81,,,ESIS.,,ESIS.,,ESIS. ESIS. ESIS.,,ITU estimate based on Eurostat.,Population age 16-74.,Eurostat,Population age 16-74.,Eurostat.,Population age 16-74.,Eurostat.,Population age 16-74.,Eurostat.,Population age 16-74.,Eurostat.,Population age 16-74 according to Statistical Service Survey,Eurostat.
Czech Republic,9.78052788834393,14.6971721171129,23.93,34.3,35.5,35.27,47.93,51.93,62.97,64.43,,,Ministry of Economy. Czech Telecommunication Office.,,Ministry of Economy. Czech Telecommunication Office.,,Ministry of Economy. Czech Telecommunication Office estimate.,Population age 16-74.,Eurostat,Population age 16-74.,Eurostat,Population age 16-74.,Eurostat.,Population age 16-74.,Eurostat.,Population age 16-74.,Eurostat.,Population age 16-74.,Eurostat.,Population age 16-74.,Eurostat.
D.P.R. Korea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Commercially not available. Local Intranet available in country.,Ministry of Posts and Telecommunications.,Commercially not available. Local Intranet available in country.,Ministry of Posts and Telecommunications.,Commercially not available. Local Intranet available in country.,Ministry of Posts and Telecommunications.,Commercially not available. Local Intranet available in country.,Ministry of Posts and Telecommunications.,Commercially not available. Local Intranet available in country.,Ministry of Posts and Telecommunications.,Commercially not available. Local Intranet available in country.,Ministry of Posts and Telecommunications.,Commercially not available. Local Intranet available in country.,Ministry of Posts and Telecommunications.,Commercially not available. Local Intranet available in country.,Ministry of Posts and Telecommunications.,,Ministry of Posts and Telecommunications.,,ITU estimate.
Denmark,39.1724308555053,42.9575247201878,64.25,76.26,80.93,82.74,86.65,85.03,85.02,86.84,,E-mail users.,MR&IT.,,ITU estimate.,Population age 16-74 using Internet in the last 3 months.,Eurostat.,Population age 16-74.,Eurostat.,Population age 16-74.,Eurostat.,Population age 16-74.,Eurostat.,Population age 16-74.,Eurostat.,Population age 16-74.,Eurostat.,Population age 16-74.,Eurostat.,Population age 16-74.,Eurostat.
Djibouti,0.194500528399956,0.343526262964202,0.48697170451894,0.625940229399888,0.781317175068661,0.953611449300569,1.27004115919322,1.62,2.26,3.0,,,,,,,,,,,,,,,,,"Ministére de la Communication et de la Culture, chargé des Postes et des Télécommunications",,"Ministére de la Communication et de la Culture, chargé des Postes et des Télécommunications",,"Ministére de la Communication et de la Culture, chargé des Postes et des Télécommunications"
Dominica,8.81484419762881,13.2452280386761,18.4248927671241,23.6204198529629,30.3196130921568,38.5436432637571,39.39817430347,40.2744630071599,41.1565745757131,42.0205900891437,,,,,,,,,,,,,,,,,ITU estimate.,,ITU estimate.,,ITU estimate.
Dominican Rep.,3.70469235587688,4.42939069666645,6.8237257325842,7.89839293716387,8.8655534607044,11.4831977789344,14.8449283654589,17.66,20.82,26.77,,,Instituto Dominicano de las Telecomunicaciones (INDOTEL).,,Instituto Dominicano de las Telecomunicaciones (INDOTEL).,,Instituto Dominicano de las Telecomunicaciones (INDOTEL).,,Instituto Dominicano de las Telecomunicaciones (INDOTEL).,,Instituto Dominicano de las Telecomunicaciones (INDOTEL).,,Instituto Dominicano de las Telecomunicaciones (INDOTEL).,,Instituto Dominicano de las Telecomunicaciones (INDOTEL).,,Instituto Dominicano de las Telecomunicaciones (INDOTEL),,Instituto Dominicano de las Telecomunicaciones (INDOTEL),Calculated using a multiplying factor of 3.9 to residencial subscriptions and 16 to business subscriptions.,Instituto Dominicano de las Telecomunicaciones (INDOTEL)
Ecuador,1.46218853556457,2.67044367376705,4.26079691519764,4.46022834472698,4.83444263759525,5.99425516097331,7.2,10.8,16.3,24.6,,,,,,,,,,,,,ITU estimate.,Population age 10+.,ITU estimate.,Estimated based on survey results.,ITU estimate.,Estimated based on survey results.,Instituto Nacional de Estadística y Censos (INEC),Population age 5+.,Instituto Nacional de Estadística y Censos (INEC)
Egypt,0.641265037504813,0.838945611477604,2.71999971465421,4.03788510706701,5.1506662320737,11.6983982081957,12.5527999697616,16.05,18.05,24.26,,,Telecom Egypt estimate.,,Telecom Egypt estimate.,,MICT.,,Telecom Egypt estimate.,,Ministry of Communications and Information Technology.,,Ministry of Communications and Information Technology.,,Ministry of Communications and Information Technology.,,Ministry of Communcations and Information Technology,,Ministry of Communcations and Information Technology,,Ministry of Communcations and Information Technology
El Salvador,1.17739726914477,1.5,1.9,2.5,3.2,4.2,5.5,6.11,10.08,12.11,,,Superintendencia General de Electricidad y Telecomunicaciones.,Estimated based on Survey results. Population age 10+.,ITU estimate.,Estimated based on Survey results. Population age 10+.,ITU estimate.,Estimated based on Survey results. Population age 10+.,ITU estimate.,Estimated based on Survey results. Population age 10+.,ITU estimate.,Estimated based on Survey results. Population age 10+.,ITU estimate.,Population age 10+.,"OSILAC, ECLAC.",Population age 10+.,DIGESTYC,Population age 10+.,DIGESTYC,Population age 10+.,DIGESTYC
Equatorial Guinea,0.132354665123789,0.16526042288306,0.321197997152044,0.520524272046806,0.843930284607049,1.14978967061811,1.27919359635686,1.55712305943539,1.82039663408662,2.1293175980706,,,,,,,,,,,,,,,,,ITU estimate.,,ITU estimate.,,ITU estimate.
Eritrea,0.136711941104496,0.157815289303043,0.227090137626716,0.725623231746887,1.1610256686521,1.78846005094428,2.15938321105466,2.5098464413201,4.05936661296801,,,,,,,,,,,,,,,,,,Eritrea Telecommunication Services Corporation.,,Eritrea Telecommunication Services Corporation.,,
